epoch,train_loss
1,0.0029606377647724003
2,0.002815705677494407
3,0.0027760620403569193
4,0.002760839633992873
5,0.00275276608299464
6,0.002743380257743411
7,0.0027356790058547633
8,0.0027286716242088003
9,0.002722377300960943
10,0.0027166213229065763
11,0.002711263074888848
12,0.002706236860831268
13,0.0027014438848709686
14,0.002696921059396118
15,0.0026926140446448697
16,0.002688495596521534
17,0.0026845448097446933
18,0.002680742435040884
19,0.0026770748547278343
20,0.0026735218532849105
